filename,variant,section,mode,tp,fp,fn,precision,recall,f1
1353499_10K_2020_0001344676-21-000004.json,sm_aug,item_10,relaxed,22,8,13,0.7333333333333333,0.6285714285714286,0.6769230769230768
1353499_10K_2020_0001344676-21-000004.json,trf_base,item_7,strict,0,0,31,0.0,0.0,0.0
1353499_10K_2020_0001344676-21-000004.json,trf_base,item_7,relaxed,0,0,31,0.0,0.0,0.0
1353499_10K_2020_0001344676-21-000004.json,trf_base,item_10,strict,13,18,22,0.41935483870967744,0.37142857142857144,0.393939393939394
1353499_10K_2020_0001344676-21-000004.json,trf_base,item_10,relaxed,16,15,19,0.5161290322580645,0.45714285714285713,0.4848484848484849
1353499_10K_2020_0001344676-21-000004.json,trf_aug,item_7,strict,28,2,3,0.9333333333333333,0.9032258064516129,0.9180327868852459
1353499_10K_2020_0001344676-21-000004.json,trf_aug,item_7,relaxed,29,1,2,0.9666666666666667,0.9354838709677419,0.9508196721311476
1353499_10K_2020_0001344676-21-000004.json,trf_aug,item_10,strict,22,7,13,0.7586206896551724,0.6285714285714286,0.6875
1353499_10K_2020_0001344676-21-000004.json,trf_aug,item_10,relaxed,22,7,13,0.7586206896551724,0.6285714285714286,0.6875
1378590_10K_2021_0001437749-21-028984.json,sm_base,item_7,strict,0,0,171,0.0,0.0,0.0
1378590_10K_2021_0001437749-21-028984.json,sm_base,item_7,relaxed,0,0,171,0.0,0.0,0.0
1378590_10K_2021_0001437749-21-028984.json,sm_base,item_10,strict,33,189,74,0.14864864864864866,0.308411214953271,0.2006079027355623
1378590_10K_2021_0001437749-21-028984.json,sm_base,item_10,relaxed,40,182,67,0.18018018018018017,0.37383177570093457,0.24316109422492402
1378590_10K_2021_0001437749-21-028984.json,sm_aug,item_7,strict,15,103,156,0.1271186440677966,0.08771929824561403,0.10380622837370242
1378590_10K_2021_0001437749-21-028984.json,sm_aug,item_7,relaxed,117,1,54,0.9915254237288136,0.6842105263157895,0.809688581314879
1378590_10K_2021_0001437749-21-028984.json,sm_aug,item_10,strict,36,93,71,0.27906976744186046,0.3364485981308411,0.3050847457627119
1378590_10K_2021_0001437749-21-028984.json,sm_aug,item_10,relaxed,50,79,57,0.3875968992248062,0.4672897196261682,0.423728813559322
1378590_10K_2021_0001437749-21-028984.json,trf_base,item_7,strict,0,0,171,0.0,0.0,0.0
1378590_10K_2021_0001437749-21-028984.json,trf_base,item_7,relaxed,0,0,171,0.0,0.0,0.0
1378590_10K_2021_0001437749-21-028984.json,trf_base,item_10,strict,48,143,59,0.2513089005235602,0.4485981308411215,0.3221476510067114
1378590_10K_2021_0001437749-21-028984.json,trf_base,item_10,relaxed,48,143,59,0.2513089005235602,0.4485981308411215,0.3221476510067114
1378590_10K_2021_0001437749-21-028984.json,trf_aug,item_7,strict,15,103,156,0.1271186440677966,0.08771929824561403,0.10380622837370242
1378590_10K_2021_0001437749-21-028984.json,trf_aug,item_7,relaxed,117,1,54,0.9915254237288136,0.6842105263157895,0.809688581314879
1378590_10K_2021_0001437749-21-028984.json,trf_aug,item_10,strict,37,83,70,0.30833333333333335,0.34579439252336447,0.3259911894273128
1378590_10K_2021_0001437749-21-028984.json,trf_aug,item_10,relaxed,50,70,57,0.4166666666666667,0.4672897196261682,0.44052863436123346
1404655_10K_2020_0001564590-21-006083.json,sm_base,item_7,strict,0,0,298,0.0,0.0,0.0
1404655_10K_2020_0001564590-21-006083.json,sm_base,item_7,relaxed,0,0,298,0.0,0.0,0.0
1404655_10K_2020_0001564590-21-006083.json,sm_base,item_10,strict,0,1,0,0.0,0.0,0.0
1404655_10K_2020_0001564590-21-006083.json,sm_base,item_10,relaxed,0,1,0,0.0,0.0,0.0
1404655_10K_2020_0001564590-21-006083.json,sm_aug,item_7,strict,6,84,292,0.06666666666666667,0.020134228187919462,0.03092783505154639
1404655_10K_2020_0001564590-21-006083.json,sm_aug,item_7,relaxed,90,0,208,1.0,0.30201342281879195,0.46391752577319584
1404655_10K_2020_0001564590-21-006083.json,sm_aug,item_10,strict,0,2,0,0.0,0.0,0.0
1404655_10K_2020_0001564590-21-006083.json,sm_aug,item_10,relaxed,0,2,0,0.0,0.0,0.0
1404655_10K_2020_0001564590-21-006083.json,trf_base,item_7,strict,0,0,298,0.0,0.0,0.0
1404655_10K_2020_0001564590-21-006083.json,trf_base,item_7,relaxed,0,0,298,0.0,0.0,0.0
1404655_10K_2020_0001564590-21-006083.json,trf_base,item_10,strict,0,0,0,0.0,0.0,0.0
1404655_10K_2020_0001564590-21-006083.json,trf_base,item_10,relaxed,0,0,0,0.0,0.0,0.0
1404655_10K_2020_0001564590-21-006083.json,trf_aug,item_7,strict,6,84,292,0.06666666666666667,0.020134228187919462,0.03092783505154639
1404655_10K_2020_0001564590-21-006083.json,trf_aug,item_7,relaxed,90,0,208,1.0,0.30201342281879195,0.46391752577319584
1404655_10K_2020_0001564590-21-006083.json,trf_aug,item_10,strict,0,1,0,0.0,0.0,0.0
1404655_10K_2020_0001564590-21-006083.json,trf_aug,item_10,relaxed,0,1,0,0.0,0.0,0.0
